customer_id,rfm_segment,campaign_priority,campaign_type,campaign_action,predicted_clv,frequency,recency_days,acquisition_channel
CUST01173,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1864.0,18,16,Referral
CUST00816,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1807.0,18,2,Referral
CUST00255,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1807.0,18,27,Referral
CUST00504,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1721.0,17,15,Referral
CUST00046,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1626.0,16,13,Referral
CUST01234,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1586.0,14,27,Organic Search
CUST00558,At Risk,High,Win-back,Time-limited re-engagement offer,1571.0,15,141,Referral
CUST00627,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1545.0,15,4,Email
CUST00383,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1541.0,16,9,Email
CUST00832,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1528.0,16,13,Email
CUST01155,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1500.0,13,22,Referral
CUST01495,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1486.0,14,38,Organic Search
CUST00427,Loyal Customers,High,Retention,Personalised thank-you + early access,1485.0,13,77,Referral
CUST00091,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1480.0,13,21,Referral
CUST01293,Loyal Customers,High,Retention,Personalised thank-you + early access,1477.0,14,48,Referral
CUST00864,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1462.0,14,4,Influencer
CUST00238,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1459.0,13,2,Organic Search
CUST01038,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1459.0,14,20,Influencer
CUST00683,Loyal Customers,High,Retention,Personalised thank-you + early access,1443.0,13,50,Referral
CUST01179,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1439.0,14,42,Direct
CUST00340,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1438.0,15,41,Email
CUST01176,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1434.0,15,15,Email
CUST00155,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1427.0,14,11,Organic Search
CUST01369,Champions,High,VIP Rewards,Exclusive loyalty rewards + upsell premium,1426.0,14,31,Email
CUST00422,Loyal Customers,High,Retention,Personalised thank-you + early access,1415.0,12,53,Referral
CUST00461,Loyal Customers,High,Retention,Personalised thank-you + early access,1408.0,13,48,Organic Search
CUST01083,Loyal Customers,High,Retention,Personalised thank-you + early access,1408.0,13,65,Direct
CUST01358,Loyal Customers,High,Retention,Personalised thank-you + early access,1374.0,12,73,Referral
CUST01394,Loyal Customers,High,Retention,Personalised thank-you + early access,1373.0,13,72,Referral
CUST00701,Loyal Customers,High,Retention,Personalised thank-you + early access,1368.0,12,80,Organic Search
CUST00064,Loyal Customers,High,Retention,Personalised thank-you + early access,1363.0,14,78,Email
CUST00655,Loyal Customers,High,Retention,Personalised thank-you + early access,1357.0,12,72,Referral
CUST00283,Loyal Customers,High,Retention,Personalised thank-you + early access,1357.0,13,66,Direct
CUST00933,Loyal Customers,High,Retention,Personalised thank-you + early access,1356.0,13,65,Referral
CUST01319,At Risk,High,Win-back,Time-limited re-engagement offer,1334.0,13,125,Email
CUST00989,Loyal Customers,High,Retention,Personalised thank-you + early access,1293.0,10,80,Referral
CUST00541,Loyal Customers,High,Retention,Personalised thank-you + early access,1277.0,6,16,Direct
CUST01292,Loyal Customers,High,Retention,Personalised thank-you + early access,1276.0,12,80,Referral
CUST00258,Loyal Customers,High,Retention,Personalised thank-you + early access,1272.0,11,63,Influencer
CUST00260,At Risk,High,Win-back,Time-limited re-engagement offer,1263.0,12,109,Organic Search
CUST00593,At Risk,High,Win-back,Time-limited re-engagement offer,1262.0,12,125,Paid Social
CUST00256,Loyal Customers,High,Retention,Personalised thank-you + early access,1260.0,11,62,Referral
CUST00236,Loyal Customers,High,Retention,Personalised thank-you + early access,1260.0,7,65,Paid Social
CUST00364,Loyal Customers,High,Retention,Personalised thank-you + early access,1238.0,11,47,Direct
CUST00635,At Risk,High,Win-back,Time-limited re-engagement offer,1211.0,11,226,Referral
CUST00822,At Risk,High,Win-back,Time-limited re-engagement offer,1195.0,11,106,Paid Social
CUST00366,At Risk,High,Win-back,Time-limited re-engagement offer,1195.0,10,104,Referral
CUST00015,At Risk,High,Win-back,Time-limited re-engagement offer,1163.0,9,117,Paid Social
