campaign_id,customer_id,campaign_type,send_date,send_month,opened,clicked,converted,revenue_generated,campaign_cost,roi_pct,segment
CAMP0000001,CUST00001,Email,2023-12-04,2023-12,0,0,0,0,31.05,-100.0,Mid-Range
CAMP0000002,CUST00001,Email,2023-05-05,2023-05,0,0,0,0,47.81,-100.0,Mid-Range
CAMP0000003,CUST00001,SMS,2023-04-28,2023-04,0,0,0,0,119.84,-100.0,Mid-Range
CAMP0000004,CUST00001,Paid Social,2023-05-13,2023-05,0,0,0,0,1963.96,-100.0,Mid-Range
CAMP0000005,CUST00001,Paid Social,2024-02-07,2024-02,0,0,0,0,789.58,-100.0,Mid-Range
CAMP0000006,CUST00001,Influencer,2023-12-26,2023-12,0,0,0,0,674.06,-100.0,Mid-Range
CAMP0000007,CUST00001,Push Notification,2023-10-11,2023-10,1,0,0,0,18.99,-100.0,Mid-Range
CAMP0000008,CUST00002,Push Notification,2023-12-09,2023-12,0,0,0,0,28.71,-100.0,Mid-Range
CAMP0000009,CUST00002,SMS,2023-02-21,2023-02,0,0,0,0,118.45,-100.0,Mid-Range
CAMP0000010,CUST00002,Email,2022-11-12,2022-11,0,0,0,0,39.18,-100.0,Mid-Range
CAMP0000011,CUST00002,SMS,2023-08-13,2023-08,1,0,0,0,68.27,-100.0,Mid-Range
CAMP0000012,CUST00002,Display Ad,2023-04-18,2023-04,0,0,0,0,715.69,-100.0,Mid-Range
CAMP0000013,CUST00002,Paid Social,2023-06-28,2023-06,0,0,0,0,809.8,-100.0,Mid-Range
CAMP0000014,CUST00003,Email,2024-01-19,2024-01,0,0,0,0,39.68,-100.0,Premium
CAMP0000015,CUST00003,Email,2024-01-05,2024-01,1,1,0,0,48.22,-100.0,Premium
CAMP0000016,CUST00003,Display Ad,2023-10-01,2023-10,0,0,0,0,420.5,-100.0,Premium
CAMP0000017,CUST00003,Paid Social,2024-03-16,2024-03,0,0,0,0,1079.79,-100.0,Premium
CAMP0000018,CUST00003,Influencer,2023-09-19,2023-09,0,0,0,0,675.68,-100.0,Premium
CAMP0000019,CUST00003,Email,2023-12-04,2023-12,0,0,0,0,57.76,-100.0,Premium
CAMP0000020,CUST00003,SMS,2023-10-14,2023-10,1,0,0,0,62.35,-100.0,Premium
CAMP0000021,CUST00003,Email,2024-02-07,2024-02,0,0,0,0,53.26,-100.0,Premium
CAMP0000022,CUST00003,Influencer,2024-01-24,2024-01,1,1,0,0,1278.36,-100.0,Premium
CAMP0000023,CUST00004,Push Notification,2023-02-15,2023-02,0,0,0,0,11.66,-100.0,Mid-Range
CAMP0000024,CUST00004,Push Notification,2024-03-18,2024-03,0,0,0,0,27.38,-100.0,Mid-Range
