customer_id,signup_date,acquisition_channel,segment,country,gender,age,device
CUST00001,2023-04-24,Influencer,Mid-Range,France,Male,41,Tablet
CUST00002,2022-05-31,Paid Social,Mid-Range,Nigeria,Male,55,Mobile
CUST00003,2023-08-17,Organic Search,Premium,UAE,Female,65,Desktop
CUST00004,2022-10-26,Referral,Mid-Range,Australia,Female,45,Desktop
CUST00005,2022-02-26,Paid Social,Luxury,Australia,Female,50,Mobile
CUST00006,2022-02-08,Direct,Budget,Germany,Female,23,Mobile
CUST00007,2022-03-23,Paid Social,Budget,Germany,Female,25,Mobile
CUST00008,2022-12-29,Direct,Luxury,Nigeria,Female,27,Desktop
CUST00009,2022-11-25,Influencer,Mid-Range,USA,Male,61,Desktop
CUST00010,2022-03-15,Paid Social,Mid-Range,Germany,Non-binary,36,Desktop
CUST00011,2022-04-19,Influencer,Mid-Range,UK,Female,18,Mobile
CUST00012,2022-08-01,Influencer,Luxury,UAE,Male,58,Mobile
CUST00013,2022-10-28,Paid Social,Mid-Range,Germany,Female,39,Desktop
CUST00014,2022-08-20,Paid Social,Budget,UK,Male,57,Mobile
CUST00015,2022-12-25,Paid Social,Premium,UAE,Male,44,Tablet
CUST00016,2022-06-03,Organic Search,Premium,France,Male,39,Tablet
CUST00017,2022-01-30,Organic Search,Budget,USA,Male,47,Mobile
CUST00018,2022-05-19,Email,Budget,UK,Female,63,Desktop
CUST00019,2022-11-24,Direct,Mid-Range,Australia,Female,19,Mobile
CUST00020,2022-04-12,Paid Social,Premium,Canada,Female,19,Desktop
CUST00021,2022-09-04,Email,Budget,Canada,Female,59,Tablet
CUST00022,2022-07-17,Organic Search,Premium,France,Female,25,Desktop
CUST00023,2023-04-20,Paid Social,Premium,UK,Female,24,Mobile
CUST00024,2022-01-10,Paid Social,Premium,Nigeria,Female,35,Mobile
CUST00025,2023-02-21,Email,Mid-Range,USA,Female,19,Mobile
CUST00026,2022-02-01,Email,Budget,Canada,Female,58,Desktop
CUST00027,2022-06-11,Influencer,Mid-Range,Canada,Male,30,Mobile
CUST00028,2023-01-21,Paid Social,Mid-Range,USA,Female,23,Desktop
CUST00029,2022-05-28,Referral,Mid-Range,France,Female,50,Desktop
CUST00030,2023-09-01,Organic Search,Budget,Australia,Female,29,Mobile
CUST00031,2022-09-29,Paid Social,Mid-Range,USA,Female,56,Desktop
CUST00032,2023-08-20,Email,Luxury,UK,Male,50,Tablet
CUST00033,2022-08-31,Paid Social,Premium,Germany,Female,39,Desktop
CUST00034,2023-04-11,Paid Social,Budget,Nigeria,Female,18,Tablet
CUST00035,2022-10-12,Paid Social,Budget,Australia,Male,41,Desktop
CUST00036,2022-03-31,Paid Social,Luxury,Germany,Female,45,Tablet
CUST00037,2023-04-04,Organic Search,Mid-Range,Canada,Male,57,Mobile
CUST00038,2023-09-24,Email,Mid-Range,USA,Male,53,Mobile
CUST00039,2023-01-25,Direct,Budget,UK,Male,41,Desktop
CUST00040,2022-09-28,Direct,Budget,Canada,Non-binary,25,Mobile
CUST00041,2022-05-03,Email,Premium,Canada,Male,41,Mobile
CUST00042,2023-02-16,Organic Search,Budget,Germany,Male,59,Desktop
CUST00043,2022-12-03,Direct,Luxury,UAE,Male,18,Desktop
CUST00044,2023-08-01,Organic Search,Premium,Germany,Male,35,Desktop
CUST00045,2022-10-29,Email,Luxury,Australia,Male,24,Desktop
CUST00046,2023-04-03,Referral,Luxury,UAE,Female,47,Mobile
CUST00047,2023-07-21,Paid Social,Budget,UAE,Female,52,Desktop
CUST00048,2022-01-12,Organic Search,Mid-Range,Germany,Female,21,Mobile
CUST00049,2022-11-05,Paid Social,Premium,Nigeria,Male,64,Mobile
CUST00050,2022-08-19,Paid Social,Budget,Canada,Male,42,Desktop
CUST00051,2022-12-08,Referral,Premium,UAE,Male,50,Mobile
CUST00052,2022-10-14,Paid Social,Mid-Range,Australia,Female,61,Mobile
CUST00053,2023-06-21,Email,Mid-Range,Germany,Female,48,Mobile
