order_id,customer_id,product_id,category,order_date,order_month,quantity,unit_price,discount_pct,order_value,gross_margin,is_returned,net_revenue,net_margin,acquisition_channel,device
ORD0000001,CUST00001,PROD0049,Home & Living,2023-07-01,2023-07,3,60.55,0,181.65,70.84,0,181.65,70.84,Influencer,Tablet
ORD0000002,CUST00001,PROD0077,Footwear,2024-01-03,2024-01,1,66.48,0,66.48,29.92,0,66.48,29.92,Influencer,Tablet
ORD0000003,CUST00001,PROD0060,Footwear,2023-05-03,2023-05,2,104.31,0,208.62,60.5,0,208.62,60.5,Influencer,Tablet
ORD0000004,CUST00001,PROD0069,Beauty,2024-01-24,2024-01,1,52.71,0,52.71,31.63,0,52.71,31.63,Influencer,Tablet
ORD0000005,CUST00002,PROD0081,Home & Living,2022-08-28,2022-08,1,97.71,0,97.71,25.4,0,97.71,25.4,Paid Social,Mobile
ORD0000006,CUST00003,PROD0172,Beauty,2023-09-11,2023-09,2,19.11,0,38.22,16.43,1,0.0,0.0,Organic Search,Desktop
ORD0000007,CUST00003,PROD0078,Accessories,2023-12-01,2023-12,1,83.84,0,83.84,50.3,0,83.84,50.3,Organic Search,Desktop
ORD0000008,CUST00003,PROD0104,Sports,2023-12-17,2023-12,2,40.92,0,81.84,29.46,0,81.84,29.46,Organic Search,Desktop
ORD0000009,CUST00003,PROD0099,Home & Living,2023-10-16,2023-10,1,113.39,0,113.39,41.95,0,113.39,41.95,Organic Search,Desktop
ORD0000010,CUST00003,PROD0025,Footwear,2024-01-23,2024-01,2,78.3,0,156.6,51.68,0,156.6,51.68,Organic Search,Desktop
ORD0000011,CUST00003,PROD0181,Home & Living,2023-10-22,2023-10,2,68.65,0,137.3,78.26,1,0.0,0.0,Organic Search,Desktop
ORD0000012,CUST00004,PROD0167,Footwear,2023-09-27,2023-09,1,62.12,0,62.12,18.01,0,62.12,18.01,Referral,Desktop
ORD0000013,CUST00004,PROD0147,Home & Living,2024-01-31,2024-01,3,133.32,0,399.96,183.98,0,399.96,183.98,Referral,Desktop
ORD0000014,CUST00004,PROD0187,Clothing,2024-01-17,2024-01,2,104.59,0,209.18,92.04,0,209.18,92.04,Referral,Desktop
ORD0000015,CUST00004,PROD0189,Home & Living,2023-09-22,2023-09,2,100.23,0,200.46,122.28,0,200.46,122.28,Referral,Desktop
ORD0000016,CUST00004,PROD0027,Footwear,2023-06-14,2023-06,3,147.27,0,441.81,247.41,0,441.81,247.41,Referral,Desktop
ORD0000017,CUST00004,PROD0150,Beauty,2023-08-06,2023-08,3,24.66,0,73.98,36.25,1,0.0,0.0,Referral,Desktop
ORD0000018,CUST00004,PROD0048,Home & Living,2023-02-20,2023-02,1,96.14,0,96.14,60.57,0,96.14,60.57,Referral,Desktop
ORD0000019,CUST00005,PROD0034,Clothing,2023-07-29,2023-07,1,108.12,0.1,97.31,38.92,0,97.31,38.92,Paid Social,Mobile
