product_id,product_name,category,price,cost,margin_pct,return_rate
PROD0001,Accessories Item 0001,Accessories,40.31,26.2,0.35,0.28
PROD0002,Clothing Item 0002,Clothing,48.81,18.06,0.63,0.32
PROD0003,Footwear Item 0003,Footwear,63.28,31.64,0.5,0.2
PROD0004,Accessories Item 0004,Accessories,19.48,7.21,0.63,0.12
PROD0005,Footwear Item 0005,Footwear,121.17,50.89,0.58,0.12
PROD0006,Accessories Item 0006,Accessories,25.71,13.63,0.47,0.14
PROD0007,Beauty Item 0007,Beauty,25.48,17.07,0.33,0.1
PROD0008,Footwear Item 0008,Footwear,151.56,59.11,0.61,0.22
PROD0009,Sports Item 0009,Sports,39.16,16.06,0.59,0.32
PROD0010,Home & Living Item 0010,Home & Living,50.82,31.51,0.38,0.1
PROD0011,Sports Item 0011,Sports,85.35,61.45,0.28,0.27
PROD0012,Sports Item 0012,Sports,146.79,93.95,0.36,0.23
PROD0013,Sports Item 0013,Sports,147.02,89.68,0.39,0.21
PROD0014,Beauty Item 0014,Beauty,56.06,20.74,0.63,0.21
PROD0015,Footwear Item 0015,Footwear,131.63,77.66,0.41,0.11
PROD0016,Beauty Item 0016,Beauty,14.72,5.3,0.64,0.09
PROD0017,Home & Living Item 0017,Home & Living,31.84,19.42,0.39,0.32
PROD0018,Clothing Item 0018,Clothing,45.54,25.05,0.45,0.22
PROD0019,Beauty Item 0019,Beauty,17.13,9.59,0.44,0.25
PROD0020,Clothing Item 0020,Clothing,35.77,19.32,0.46,0.08
PROD0021,Beauty Item 0021,Beauty,65.25,24.8,0.62,0.26
PROD0022,Sports Item 0022,Sports,30.09,12.94,0.57,0.12
PROD0023,Clothing Item 0023,Clothing,85.59,55.63,0.35,0.24
PROD0024,Beauty Item 0024,Beauty,20.35,12.01,0.41,0.19
PROD0025,Footwear Item 0025,Footwear,78.3,52.46,0.33,0.28
PROD0026,Footwear Item 0026,Footwear,66.28,49.05,0.26,0.31
PROD0027,Footwear Item 0027,Footwear,147.27,64.8,0.56,0.31
PROD0028,Sports Item 0028,Sports,115.45,58.88,0.49,0.2
PROD0029,Accessories Item 0029,Accessories,59.38,23.75,0.6,0.19
PROD0030,Beauty Item 0030,Beauty,30.52,19.53,0.36,0.19
PROD0031,Footwear Item 0031,Footwear,42.93,24.04,0.44,0.09
PROD0032,Home & Living Item 0032,Home & Living,43.05,30.57,0.29,0.29
PROD0033,Sports Item 0033,Sports,54.48,39.23,0.28,0.18
PROD0034,Clothing Item 0034,Clothing,108.12,64.87,0.4,0.19
PROD0035,Beauty Item 0035,Beauty,43.82,18.4,0.58,0.18
PROD0036,Home & Living Item 0036,Home & Living,74.59,48.48,0.35,0.29
PROD0037,Clothing Item 0037,Clothing,99.72,61.83,0.38,0.3
PROD0038,Accessories Item 0038,Accessories,85.41,38.43,0.55,0.32
PROD0039,Beauty Item 0039,Beauty,69.16,30.43,0.56,0.24
PROD0040,Beauty Item 0040,Beauty,42.24,24.92,0.41,0.29
PROD0041,Beauty Item 0041,Beauty,68.34,27.34,0.6,0.28
