customer_id,acquisition_channel,segment,country,age,device,recency_days,frequency,monetary,avg_order_value,total_margin,return_rate,r_score,f_score,m_score,rfm_total,rfm_segment,predicted_clv,campaign_type,campaign_priority,campaign_action
CUST00069,Direct,Premium,UAE,59,Mobile,10,9,1406.99,168.9,713.64,11.1,5,5,5,15,Champions,1127.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST01428,Organic Search,Luxury,Australia,60,Tablet,13,14,1423.36,136.84,682.12,28.6,5,5,5,15,Champions,1417.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00022,Organic Search,Premium,France,25,Desktop,10,10,957.66,118.26,441.09000000000003,10.0,5,5,5,15,Champions,1133.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00032,Email,Luxury,UK,50,Tablet,6,13,931.46,144.29,410.88,46.2,5,5,5,15,Champions,1278.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00287,Referral,Premium,Germany,65,Mobile,5,9,1159.14,128.79,638.81,0.0,5,5,5,15,Champions,1145.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00982,Email,Luxury,Canada,25,Mobile,11,10,1128.7,152.59,556.63,20.0,5,5,5,15,Champions,1124.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00330,Paid Social,Luxury,France,59,Mobile,1,12,1327.81,115.13,568.8199999999999,8.3,5,5,5,15,Champions,1280.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00942,Paid Social,Premium,Australia,33,Desktop,14,8,1397.81,210.05,577.24,25.0,5,5,5,15,Champions,1070.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST01007,Organic Search,Premium,Nigeria,18,Desktop,1,11,1268.01,123.03,537.86,9.1,5,5,5,15,Champions,1215.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00937,Paid Social,Premium,France,55,Mobile,15,9,1519.86,174.21,624.48,11.1,5,5,5,15,Champions,1130.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00293,Organic Search,Luxury,UAE,65,Desktop,4,11,1987.76,205.83,936.47,18.2,5,5,5,15,Champions,1310.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00280,Organic Search,Luxury,France,64,Mobile,8,9,1310.75,145.64,636.95,0.0,5,5,5,15,Champions,1121.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST01384,Direct,Premium,Australia,38,Desktop,15,8,1077.87,139.4,508.25,12.5,5,5,5,15,Champions,1008.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST01361,Influencer,Premium,UAE,65,Mobile,11,10,1024.78,128.08,469.69,10.0,5,5,5,15,Champions,1151.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00975,Paid Social,Luxury,Canada,38,Desktop,2,11,1038.57,117.8,541.4399999999999,18.2,5,5,5,15,Champions,1184.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00974,Paid Social,Luxury,Canada,38,Mobile,11,9,1223.29,242.12,572.64,44.4,5,5,5,15,Champions,1143.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00945,Organic Search,Luxury,Germany,19,Mobile,9,10,1922.55,211.08,946.26,20.0,5,5,5,15,Champions,1235.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00917,Organic Search,Luxury,Nigeria,29,Mobile,1,8,940.12,160.85,426.73,25.0,5,5,5,15,Champions,1005.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00115,Referral,Premium,Nigeria,28,Desktop,15,11,1475.45,160.02,630.27,9.1,5,5,5,15,Champions,1315.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST00940,Referral,Luxury,UK,32,Mobile,2,12,1330.93,110.91,648.84,0.0,5,5,5,15,Champions,1343.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
CUST01176,Email,Luxury,Germany,55,Desktop,15,15,1261.46,125.44,579.08,33.3,5,5,5,15,Champions,1434.0,VIP Rewards,High,Exclusive loyalty rewards + upsell premium
